National_VMV_Code,Parameter type code,Long name,Parameter list value,Unique parameter list values
201,837_00_00_00_14,Total dissolved solids (filterable residue) (calcd.),Water - Physical,Sediment - Carbon
202,837_00_00_00_14,Total dissolved solids (filterable residue) (calcd.),Water - Physical,Sediment - Hydrocarbons
210,762_00_00_00_53,Saturation index (calcd.),Water - Physical,Sediment - Major Ions
211,824_00_00_00_54,Stability index (calcd.),Water - Physical,Sediment - Metal
619,1424_00_00_00_01,2-methylnaphthalene-D10,Water - Surrogate,Sediment - Nutrients
620,2627_00_00_00_14,"1,2-dimethylnaphthalene (1,2-DiMeNaph)",Water - Hydrocarbons,Sediment - Pesticides
621,93_00_00_00_14,p-naphthalene,Water - Hydrocarbons,Sediment - Surrogate
622,2626_00_00_00_14,Dibenzothiophene (DBT),Water - Hydrocarbons,Water - Biological
623,1431_00_00_00_14,Phenanthrenes/anthracenes-C1,Water - Hydrocarbons,Water - Carbon
624,1272_00_00_00_14,Pyrene,Water - Hydrocarbons,Water - Carbonated compounds
626,1433_00_00_00_14,Phenanthrenes/anthracenes-C4,Water - Hydrocarbons,Water - Descriptive
627,155_00_00_00_14,Benzo(a)phenanthrene OR chrysene,Water - Hydrocarbons,Water - Hydrocarbons
628,4053_00_00_00_14,Dibenzothiophenes-C2,Water - Hydrocarbons,Water - Major Ions
629,4066_00_00_00_14,Benzo(a)anthracenes/chrysenes-C2,Water - Hydrocarbons,Water - Metal
640,3037_00_00_00_01,Naphthalene-D8,Water - Surrogate,Water - Nonmetals
641,3758_00_00_00_01,Biphenyl-D10,Water - Surrogate,Water - Nutrients
642,3759_00_00_00_01,"2,6-dimethylnaphthalene-D12",Water - Surrogate,Water - Oxygen
643,3643_00_00_00_01,Acenaphthylene-D8,Water - Surrogate,Water - Pesticides
644,3764_00_00_00_01,Dibenzothiophene-D8,Water - Surrogate,Water - Physical
645,1425_00_00_00_01,Phenanthrene-D10 (Phe-d10),Water - Surrogate,Water - Surrogate
646,3642_00_00_00_01,Fluoranthene-D10 (F-d10),Water - Surrogate,
647,3760_00_00_00_01,Benz(a)anthracene-D12,Water - Surrogate,
648,1426_00_00_00_01,Chrysene-D12 (Chry-d12),Water - Surrogate,
649,3761_00_00_00_01,Benzo(b)fluoranthene-D12,Water - Surrogate,
650,3762_00_00_00_01,Benzo(k)fluoranthene-D12,Water - Surrogate,
651,3040_00_00_00_01,Benzo(a)pyrene-D12,Water - Surrogate,
652,1156_00_00_00_01,Perylene-D12,Water - Surrogate,
653,1427_00_00_00_01,"Dibenzo(a,h)anthracene-D14",Water - Surrogate,
654,3763_00_00_00_01,"Indeno(1,2,3-c,d)pyrene-D12",Water - Surrogate,
655,1428_00_00_00_01,"Benzo(g,h,i)perylene-D12 (B-ghiPer-d12)",Water - Surrogate,
656,312_00_00_00_14,Naphthalene,Water - Hydrocarbons,
657,314_00_00_00_14,2-methylnaphthalene,Water - Hydrocarbons,
658,311_00_00_00_14,1-methylnaphthalene,Water - Hydrocarbons,
