National_VMV_Code,Parameter type code,Long name,Parameter list value,Unique parameter list values
202,837_00_00_00_14,Total dissolved solids (filterable residue) (calcd.),Water - Physical,Water - Biological
210,762_00_00_00_53,Saturation index (calcd.),Water - Physical,Water - Carbon
211,824_00_00_00_54,Stability index (calcd.),Water - Physical,Water - Major Ions
2021,443_00_00_00_30,Colour true,Water - Physical,Water - Metal
2041,817_00_00_00_34,Specific conductance,Water - Physical,Water - Nutrients
2081,864_00_00_00_28,Turbidity,Water - Physical,Water - Oxygen
6002,488_00_00_00_14,Carbon total organic (calcd.),Water - Carbon,Water - Physical
6104,478_00_00_00_14,Carbon dissolved organic,Water - Carbon,
6201,545_00_00_00_14,Bicarbonate (calcd.),Water - Major Ions,
6301,431_00_00_00_14,Carbonate (calcd.),Water - Major Ions,
6401,430_00_00_00_14,Carbon dioxide free (calcd.),Water - Carbon,
6902,490_00_00_00_14,Carbon particulate organic,Water - Carbon,
7570,606_00_00_00_14,Ammonia un-ionized (calcd.),Water - Nutrients,
7603,635_00_00_00_14,Nitrogen total,Water - Nutrients,
7902,632_00_00_00_14,Nitrogen particulate,Water - Nutrients,
8101,659_00_00_00_14,Oxygen dissolved,Water - Oxygen,
8501,641_00_00_00_14,Hydroxide (calcd.),Water - Major Ions,
9117,532_00_00_00_14,Fluoride dissolved,Water - Major Ions,
10111,364_00_00_00_14,Alkalinity total CaCO3,Water - Physical,
10151,366_00_00_00_14,Alkalinity phenolphthalein CaCO3,Water - Physical,
10301,687_00_00_00_29,pH,Water - Physical,
10406,749_00_00_00_14,Residue nonfilterable,Water - Physical,
10451,745_00_00_00_14,Residue filterable,Water - Physical,
10602,542_00_00_00_14,Hardness total (calcd.) CaCO3,Water - Physical,
10650,540_00_00_00_14,Hardness non-carbonated (calcd.),Water - Physical,
11103,600_00_00_00_14,Sodium dissolved/filtered,Water - Major Ions,
11250,598_00_00_00_01,Sodium percentage (calcd.),Water - Major Ions,
12102,581_00_00_00_14,Magnesium dissolved,Water - Major Ions,
14108,784_00_00_00_14,SiO2,Water - Major Ions,
15104,731_00_00_00_14,Phosphorus total dissolved,Water - Nutrients,
15406,730_00_00_00_14,Phosphorus total,Water - Nutrients,
15901,725_00_00_00_14,Phosphorus particulate (calcd.),Water - Nutrients,
16306,814_00_00_00_14,Sulphate dissolved,Water - Major Ions,
17206,426_00_00_00_14,Chloride dissolved,Water - Major Ions,
19103,565_00_00_00_14,Potassium dissolved/filtered,Water - Major Ions,
20103,404_00_00_00_14,Calcium dissolved,Water - Major Ions,
36002,434_00_00_00_27,Coliforms total,Water - Biological,
36014,433_00_00_00_27,Fecal coliforms,Water - Biological,
100081,371_00_00_00_14,Aluminum extractable,Water - Metal,
100082,387_00_00_00_14,Barium extractable,Water - Metal,
100083,392_00_00_00_14,Beryllium extractable,Water - Metal,
100084,410_00_00_00_14,Cadmium extractable,Water - Metal,
100085,454_00_00_00_14,Cobalt extractable,Water - Metal,
100086,461_00_00_00_14,Chromium extractable,Water - Metal,
100087,468_00_00_00_14,Copper extractable,Water - Metal,
100088,517_00_00_00_14,Iron extractable,Water - Metal,
100089,575_00_00_00_14,Lithium extractable,Water - Metal,
100090,589_00_00_00_14,Manganese extractable,Water - Metal,
100091,594_00_00_00_14,Molybdenum extractable,Water - Metal,
100092,608_00_00_00_14,Nickel extractable,Water - Metal,
100093,679_00_00_00_14,Lead extractable,Water - Metal,
100094,820_00_00_00_14,Strontium extractable,Water - Metal,
100095,877_00_00_00_14,Vanadium extractable,Water - Metal,
100096,888_00_00_00_14,Zinc extractable,Water - Metal,
100097,400_00_00_00_14,Boron extractable,Water - Metal,
100098,406_00_00_00_14,Calcium extractable/unfiltered,Water - Major Ions,
100099,583_00_00_00_14,Magnesium extractable/unfiltered,Water - Major Ions,
100100,2630_00_00_00_14,Sodium extractable/unfiltered,Water - Major Ions,
100101,2631_00_00_00_14,Potassium extractable/unfiltered,Water - Major Ions,
100216,373_00_00_00_14,Aluminum total,Water - Metal,
100217,388_00_00_00_14,Barium total,Water - Metal,
100218,393_00_00_00_14,Beryllium total,Water - Metal,
100219,412_00_00_00_14,Cadmium total,Water - Metal,
100220,456_00_00_00_14,Cobalt total,Water - Metal,
100221,463_00_00_00_14,Chromium total,Water - Metal,
100222,470_00_00_00_14,Copper total,Water - Metal,
100223,519_00_00_00_14,Iron total,Water - Metal,
100224,576_00_00_00_14,Lithium total,Water - Metal,
100225,591_00_00_00_14,Manganese total,Water - Metal,
100226,595_00_00_00_14,Molybdenum total,Water - Metal,
100227,610_00_00_00_14,Nickel total,Water - Metal,
100228,683_00_00_00_14,Lead total,Water - Metal,
100229,823_00_00_00_14,Strontium total,Water - Metal,
100230,878_00_00_00_14,Vanadium total,Water - Metal,
100231,890_00_00_00_14,Zinc total,Water - Metal,
100232,408_00_00_00_14,Calcium total,Water - Major Ions,
100233,585_00_00_00_14,Magnesium total,Water - Major Ions,
100234,602_00_00_00_14,Sodium total,Water - Major Ions,
100235,567_00_00_00_14,Potassium total,Water - Major Ions,
100253,376_00_00_00_14,Arsenic dissolved,Water - Metal,
100254,779_00_00_00_14,Selenium dissolved,Water - Metal,
100304,2652_00_00_00_14,Nitrite and nitrate filtered,Water - Nutrients,
100306,2654_00_00_00_14,Ammonia filtered,Water - Nutrients,
106001,637_00_00_00_14,Nitrogen total dissolved,Water - Nutrients,
109026,1040_00_00_00_29,pH (Field),Water - Physical,
109027,3357_00_00_00_34,Conductance (field),Water - Physical,
109028,840_00_00_00_10,Temperature (water),Water - Physical,
