National_VMV_Code,Parameter type code,Long name,Parameter list value,Unique parameter list values
77,635_00_00_00_14,Nitrogen total,Water - Nutrients,Sediment - Carbon
201,837_00_00_00_14,Total dissolved solids (filterable residue) (calcd.),Water - Physical,Sediment - Hydrocarbons
202,837_00_00_00_14,Total dissolved solids (filterable residue) (calcd.),Water - Physical,Sediment - Metal
210,762_00_00_00_53,Saturation index (calcd.),Water - Physical,Sediment - Nutrients
211,824_00_00_00_54,Stability index (calcd.),Water - Physical,Sediment - Pesticides
1047,443_00_00_00_09,Colour true,Water - Physical,Sediment - Surrogate
1050,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,Water - Biological
1710,3061_00_00_00_14,Thiocyanate,Water - Thiocyanates,Water - Carbon
1711,681_00_00_00_07,Lead radiation PB-210,Water - Radionuclides,Water - Carbonated compounds
1712,2537_00_00_00_07,Polonium radiation total PO-210,Water - Radionuclides,Water - Descriptive
1713,739_00_00_00_07,Radium radiation RA-226,Water - Radionuclides,Water - Hydrocarbons
1714,848_00_00_00_07,Thorium radiation TH-230,Water - Radionuclides,Water - Major Ions
1715,626_00_00_00_14,Nitrogen Kjeldahl total,Water - Nutrients,Water - Metal
1742,84_00_00_00_14,Endosulfan sulphate total,Water - Pesticides,Water - Nonmetals
1967,635_00_00_00_14,Nitrogen total,Water - Nutrients,Water - Nutrients
1968,637_00_00_00_14,Nitrogen total dissolved,Water - Nutrients,Water - Oxygen
2021,443_00_00_00_30,Colour true,Water - Physical,Water - Pesticides
2034,817_00_00_00_34,Specific conductance,Water - Physical,Water - Physical
2041,817_00_00_00_34,Specific conductance,Water - Physical,Water - Radionuclides
2061,840_00_00_00_10,Temperature water (field),Water - Physical,Water - Surrogate
2081,864_00_00_00_28,Turbidity,Water - Physical,Water - Thiocyanates
2093,549_00_00_00_14,Mercury total,Water - Metal,
2420,549_00_00_00_14,Mercury total,Water - Metal,
2421,547_00_00_00_14,Mercury dissolved,Water - Metal,
2674,485_00_00_01_01,Carbon total inorganic,Sediment - Carbon,
2730,408_00_00_00_14,Calcium total,Water - Major Ions,
2731,585_00_00_00_14,Magnesium total,Water - Major Ions,
2732,602_00_00_00_14,Sodium total,Water - Major Ions,
2733,567_00_00_00_14,Potassium total,Water - Major Ions,
2750,408_00_00_00_14,Calcium total,Water - Major Ions,
2751,585_00_00_00_14,Magnesium total,Water - Major Ions,
2752,602_00_00_00_14,Sodium total,Water - Major Ions,
2753,567_00_00_00_14,Potassium total,Water - Major Ions,
2766,388_00_00_01_02,Barium total,Sediment - Metal,
3009,576_00_00_00_14,Lithium total,Water - Metal,
4010,393_00_00_00_14,Beryllium total,Water - Metal,
4099,542_00_00_00_14,Hardness total (calcd.) CaCO3,Water - Physical,
4100,487_00_00_00_14,Carbon total organic,Water - Carbon,
5108,399_00_00_00_14,Boron dissolved,Water - Metal,
5407,1851_01_00_00_46,Nitrate_as N,Water - Nutrients,
5408,1852_01_00_00_46,Nitrite_as N,Water - Nutrients,
5409,1658_01_00_00_46,Nitrate and nitrite_as N,Water - Nutrients,
6002,488_00_00_00_14,Carbon total organic (calcd.),Water - Carbon,
6021,4127_00_00_00_14,Europium dissolved,Water - Metal,
6022,4128_00_00_00_14,Gadolinium dissolved,Water - Metal,
6023,4129_00_00_00_14,Germanium dissolved,Water - Metal,
6024,4130_00_00_00_14,Hafnium dissolved,Water - Metal,
6025,4131_00_00_00_14,Holmium dissolved,Water - Metal,
6026,2633_00_00_00_14,Indium dissolved,Water - Metal,
6027,4132_00_00_00_14,Iridium dissolved,Water - Metal,
6028,4133_00_00_00_14,Lutetium dissolved,Water - Metal,
6029,4134_00_00_00_14,Neodymium dissolved,Water - Metal,
6030,4137_00_00_00_14,Praseodymium dissolved,Water - Metal,
6031,4140_00_00_00_14,Ruthenium dissolved,Water - Metal,
6032,2698_00_00_00_14,Scandium dissolved,Water - Metal,
6033,4141_00_00_00_14,Samarium dissolved,Water - Metal,
6034,4143_00_00_00_14,Terbium dissolved,Water - Metal,
6035,4145_00_00_00_14,Ytterbium dissolved,Water - Metal,
6036,2738_00_00_00_14,Tellurium dissolved,Water - Nonmetals,
6037,2740_00_00_00_14,Zirconium dissolved,Water - Metal,
6038,1004_00_00_00_14,Europium total,Water - Metal,
6039,3348_00_00_00_14,Gadolinium total recoverable,Water - Metal,
6040,4456_00_00_00_14,Germanium total,Water - Metal,
6041,1005_00_00_00_14,Hafnium total,Water - Metal,
6042,1996_00_00_00_14,Holmium total,Water - Metal,
6043,2764_00_00_00_14,Indium total,Water - Metal,
6044,1997_00_00_00_14,Iridium total,Water - Metal,
6045,1007_00_00_00_14,Lutetium total,Water - Metal,
6046,1998_00_00_00_14,Neodymium total,Water - Metal,
6047,1999_00_00_00_14,Praseodymium total,Water - Metal,
6048,2000_00_00_00_14,Ruthenium total,Water - Metal,
6049,1009_00_00_00_14,Scandium total,Water - Metal,
6050,1010_00_00_00_14,Samarium total,Water - Metal,
6055,1012_00_00_00_14,Terbium total,Water - Metal,
6056,1014_00_00_00_14,Ytterbium total,Water - Metal,
6057,730_00_00_00_14,Phosphorus total,Water - Nutrients,
6058,2737_00_00_00_14,Tellurium total,Water - Nonmetals,
6059,1015_00_00_00_14,Zirconium total,Water - Metal,
6101,478_00_00_00_14,Carbon dissolved organic,Water - Carbon,
6102,433_00_00_00_25,Fecal coliforms,Water - Biological,
6104,478_00_00_00_14,Carbon dissolved organic,Water - Carbon,
6105,481_00_00_00_14,Carbon dissolved total,Water - Carbon,
6114,2730_00_00_00_14,Phosphorus dissolved,Water - Nutrients,
6115,730_00_00_00_14,Phosphorus total,Water - Nutrients,
6201,545_00_00_00_14,Bicarbonate (calcd.),Water - Major Ions,
6301,431_00_00_00_14,Carbonate (calcd.),Water - Major Ions,
6401,430_00_00_00_14,Carbon dioxide free (calcd.),Water - Carbon,
6527,1851_01_00_00_46,Nitrate_as N,Water - Nutrients,
6528,1852_01_00_00_46,Nitrite_as N,Water - Nutrients,
6529,1658_01_00_00_46,Nitrate and nitrite_as N,Water - Nutrients,
6612,428_00_00_00_14,Cyanide total,Water - Carbonated compounds,
6613,428_00_00_00_14,Cyanide total,Water - Carbonated compounds,
