Name,Method short name,Parameter short name
Air - Physical,4460,385_00_00_05_24
Air - Physical,2182,839_00_00_05_10
Biological - Biological,2296,521_00_00_02_13
Biological - Biological,2294,523_00_00_02_36
Biological - Biological,2295,525_00_00_02_13
Biological - Descriptive,4393,2119_00_00_02_02
Biological - Descriptive,4393,2118_00_00_02_02
Biological - Descriptive,4393,2117_00_00_02_02
Biological - Dioxins and Furans,4393,2671_00_00_02_02
Biological - Dioxins and Furans,4393,2129_00_00_02_02
Biological - Dioxins and Furans,4393,4816_00_00_02_02
Biological - Dioxins and Furans,4393,2115_00_00_02_02
Biological - Dioxins and Furans,4393,2126_00_00_02_02
Biological - Dioxins and Furans,4393,2662_00_00_02_02
Biological - Dioxins and Furans,4393,2660_00_00_02_02
Biological - Dioxins and Furans,4393,4817_00_00_02_02
Biological - Dioxins and Furans,4393,2124_00_00_02_02
Biological - Dioxins and Furans,4393,2665_00_00_02_02
Biological - Dioxins and Furans,4393,2116_00_00_02_02
Biological - Dioxins and Furans,4393,2128_00_00_02_02
Biological - Dioxins and Furans,4393,2669_00_00_02_02
Biological - Dioxins and Furans,4393,2125_00_00_02_02
Biological - Dioxins and Furans,4393,2122_00_00_02_02
Biological - Dioxins and Furans,4393,2659_00_00_02_02
Biological - Dioxins and Furans,4393,2664_00_00_02_02
Biological - Dioxins and Furans,4393,2663_00_00_02_02
Biological - Dioxins and Furans,4393,1419_00_00_02_02
Biological - Dioxins and Furans,4393,2666_00_00_02_02
Biological - Dioxins and Furans,4393,2120_00_00_02_02
Biological - Dioxins and Furans,4393,1418_00_00_02_02
Biological - Dioxins and Furans,4393,2667_00_00_02_02
Biological - Dioxins and Furans,4393,2661_00_00_02_02
Biological - Dioxins and Furans,4393,2121_00_00_02_02
Biological - Dioxins and Furans,4393,2670_00_00_02_02
Biological - Dioxins and Furans,4393,2123_00_00_02_02
Biological - Dioxins and Furans,4393,2127_00_00_02_02
Biological - Dioxins and Furans,4393,2668_00_00_02_02
Biological - Hydrocarbons,4438,968_00_00_02_01
Biological - Hydrocarbons,2592,1084_00_00_02_02
Biological - Hydrocarbons,4302,1099_00_00_02_02
Biological - Hydrocarbons,4302,1583_00_00_02_02
Biological - Hydrocarbons,4302,1097_00_00_02_02
Biological - Hydrocarbons,4302,1578_00_00_02_02
Biological - Hydrocarbons,4302,1593_00_00_02_02
Biological - Hydrocarbons,4302,1096_00_00_02_02
Biological - Hydrocarbons,4302,1102_00_00_02_02
Biological - Hydrocarbons,4302,1103_00_00_02_02
Biological - Hydrocarbons,4302,1552_00_00_02_02
Biological - Hydrocarbons,4302,4417_00_00_02_02
Biological - Hydrocarbons,4302,1101_00_00_02_02
Biological - Hydrocarbons,4302,1575_00_00_02_02
Biological - Hydrocarbons,4302,5314_00_00_02_02
Biological - Hydrocarbons,4302,1083_00_00_02_02
Biological - Hydrocarbons,4302,1545_00_00_02_02
Biological - Hydrocarbons,4302,1541_00_00_02_02
Biological - Hydrocarbons,4302,1561_00_00_02_02
Biological - Hydrocarbons,4302,4418_00_00_02_02
Biological - Hydrocarbons,2818,214_00_00_02_02
Biological - Hydrocarbons,4302,1100_00_00_02_02
Biological - Hydrocarbons,4302,1092_00_00_02_02
Biological - Hydrocarbons,4302,1529_00_00_02_02
Biological - Hydrocarbons,4302,4416_00_00_02_02
Biological - Hydrocarbons,2818,91_00_00_02_02
Biological - Hydrocarbons,4302,5310_00_00_02_02
Biological - Hydrocarbons,2875,245_00_00_02_02
Biological - Hydrocarbons,4302,1041_00_00_02_02
Biological - Hydrocarbons,4302,1533_00_00_02_02
Biological - Hydrocarbons,4302,1571_00_00_02_02
Biological - Hydrocarbons,4302,4415_00_00_02_02
Biological - Hydrocarbons,4302,1554_00_00_02_02
Biological - Hydrocarbons,4302,5315_00_00_02_02
Biological - Hydrocarbons,4302,5311_00_00_02_02
Biological - Hydrocarbons,2592,1103_00_00_02_02
Biological - Hydrocarbons,2592,1099_00_00_02_02
Biological - Hydrocarbons,4302,1104_00_00_02_02
Biological - Hydrocarbons,4302,1094_00_00_02_02
Biological - Hydrocarbons,4302,5313_00_00_02_02
Biological - Hydrocarbons,4302,1542_00_00_02_02
Biological - Hydrocarbons,4302,1088_00_00_02_02
Biological - Hydrocarbons,4302,1587_00_00_02_02
Biological - Hydrocarbons,2592,1101_00_00_02_02
Biological - Hydrocarbons,4302,1091_00_00_02_02
Biological - Hydrocarbons,4302,1530_00_00_02_02
Biological - Hydrocarbons,4302,1531_00_00_02_02
Biological - Hydrocarbons,4302,1538_00_00_02_02
Biological - Hydrocarbons,2592,1097_00_00_02_02
Biological - Hydrocarbons,4302,1093_00_00_02_02
Biological - Hydrocarbons,4302,1567_00_00_02_02
Biological - Hydrocarbons,2592,1100_00_00_02_02
Biological - Hydrocarbons,2592,1091_00_00_02_02
Biological - Hydrocarbons,4302,1086_00_00_02_02
Biological - Hydrocarbons,4302,5309_00_00_02_02
Biological - Hydrocarbons,2592,1086_00_00_02_02
Biological - Hydrocarbons,4302,2619_00_00_02_02
Biological - Hydrocarbons,4302,5312_00_00_02_02
Biological - Hydrocarbons,2592,1098_00_00_02_02
Biological - Hydrocarbons,4302,1098_00_00_02_02
Biological - Hydrocarbons,4302,1563_00_00_02_02
Biological - Hydrocarbons,4302,2650_00_00_02_02
Biological - Hydrocarbons,2592,1092_00_00_02_02
Biological - Hydrocarbons,2592,1087_00_00_02_02
Biological - Hydrocarbons,2592,1088_00_00_02_02
Biological - Hydrocarbons,2592,1083_00_00_02_02
Biological - Hydrocarbons,2818,76_00_00_02_02
Biological - Hydrocarbons,2592,1096_00_00_02_02
Biological - Hydrocarbons,2592,1102_00_00_02_02
Biological - Hydrocarbons,2818,77_00_00_02_02
Biological - Hydrocarbons,2592,1094_00_00_02_02
Biological - Hydrocarbons,2592,1089_00_00_02_02
Biological - Hydrocarbons,2592,1093_00_00_02_02
Biological - Hydrocarbons,2592,1082_00_00_02_02
Biological - Hydrocarbons,2592,1085_00_00_02_02
Biological - Hydrocarbons,2592,1095_00_00_02_02
Biological - Hydrocarbons,2592,1090_00_00_02_02
Biological - Hydrocarbons,2592,292_00_00_02_02
Biological - Hydrocarbons,2592,148_00_00_02_02
Biological - Hydrocarbons,2592,219_00_00_02_02
Biological - Hydrocarbons,2592,155_00_00_02_02
Biological - Hydrocarbons,2592,204_00_00_02_02
Biological - Hydrocarbons,2592,145_00_00_02_02
Biological - Hydrocarbons,2592,132_00_00_02_02
Biological - Hydrocarbons,2592,147_00_00_02_02
Biological - Hydrocarbons,2592,1104_00_00_02_02
Biological - Hydrocarbons,2592,212_00_00_02_02
Biological - Hydrocarbons,2875,329_00_00_02_02
