Hydstra code,Long name,Name,Analysis method (Short name),Unit short name
,Parameter 1,Parameter 1,0,MGL
,Parameter 2,Parameter 2,0,MGL
,Parameter 3,Parameter 3,0,MGL
,Beam Transmission,Transmittance,0,PERC
,Secchi Depth,Secchi Depth,0,M
,000_KL_TEST,000_KL_TEST,0,SCAL
,Conductivity,Conductivity,0,MISC
,Dissolved Oxygen,Dissolved Oxygen,0,MGL
,pH,pH,0,SCAL
,Stream or Lake Surface Temperature,Stream or Lake Surface Temperature,0,DEGC
,Total Suspended Solids,Total Suspended Solids,0,MGL
,Total Alkalinity to 4.5,Total Alkalinity to 4.5,0,MGL
,Dissolved Chloride,Dissolved Chloride,0,MGL
,Nitrite,Nitrite,0,MGL
,Nitrate,Nitrate,0,MGL
,Sulphate,Sulphate,0,MGL
,Total Phosphorus,Total Phosphorus,0,MGL
,Ammonia,Ammonia,0,MGL
,Hardness (calculated as CaCO3),Hardness (calculated as CaCO3),0,MGL
,Potassium,Potassium,0,MGL
,Magnesium,Magnesium,0,MGL
,Sodium,Sodium,0,MGL
,Total Kjeldahl Nitrogen (calculated),Total Kjeldahl Nitrogen (calculated),0,MGL
,Colour (True),Colour (True),0,SCAL
,Fluoride,Fluoride,0,MGL
,Bromide,Bromide,0,MGL
,Ortho Phosphorus (ortho-P dissolved),Ortho Phosphorus (ortho-P dissolved),0,MGL
,Turbidity,Turbidity,0,NTU
,Calcium,Calcium,0,MGL
,Silicon,Silicon,0,MGL
,Aluminum Total,Aluminum Total,0,MGL
,Antimony Total,Antimony Total,0,MGL
,Arsenic Total,Arsenic Total,0,MGL
,Barium Total,Barium Total,0,MGL
,Beryllium Total,Beryllium Total,0,MGL
,Bismuth Total,Bismuth Total,0,MGL
,Boron Total,Boron Total,0,MGL
,Cadmium Total,Cadmium Total,0,MGL
,Chromium Total,Chromium Total,0,MGL
,Cobalt Total,Cobalt Total,0,MGL
,Copper Total,Copper Total,0,MGL
,Iron Total,Iron Total,0,MGL
,Lead Total,Lead Total,0,MGL
,Lithium Total,Lithium Total,0,MGL
,Manganese Total,Manganese Total,0,MGL
,Molybdenum Total,Molybdenum Total,0,MGL
,Nickel Total,Nickel Total,0,MGL
,Selenium Total,Selenium Total,0,MGL
,Silver Total,Silver Total,0,MGL
,Strontium Total,Strontium Total,0,MGL
,Thallium Total,Thallium Total,0,MGL
,Uranium Total,Uranium Total,0,MGL
,Vanadium Total,Vanadium Total,0,MGL
,Zinc Total,Zinc Total,0,MGL
,Dissolved Organic Carbon,Dissolved Organic Carbon,0,MGL
,Total Nitrogen,Total Nitrogen,0,MGL
,Total Dissolved Nitrogen,Total Dissolved Nitrogen,0,MGL
,Total Dissolved Phosphorus,Total Dissolved Phosphorus,0,MGL
,Specific Conductance @ 25 deg C,Specific Conductance @ 25 deg C,0,MISC
,Nitrogen-Nitrate+Nitrite,Nitrogen-Nitrate+Nitrite,0,MGL
,Total Organic Nitrogen,Total Organic Nitrogen,0,MGL
,Air Temperature,Air Temperature,0,DEGC
,Tin Total,Tin Total,0,MGL
,Sulfur,Sulfur,0,MGL
,Titanium Total,Titanium Total,0,MGL
,Dissolved Inorganic Carbon,Dissolved Inorganic Carbon,0,MGL
,Tellurium Total,Tellurium Total,0,MGL
,Zirconium Total,Zirconium Total,0,MGL
2,Specific conductance,817_00_00_00_34,171,MISC
1126,Specific conductance,817_00_00_00_34,10285,MISC
15858,Specific conductance,817_00_00_00_34,4469,MISC
2034,Specific conductance,817_00_00_00_34,2418,MISC
2041,Specific conductance,817_00_00_00_34,32,MISC
2042,Specific conductance,817_00_00_00_34,33,MISC
101169,Specific conductance,817_00_00_00_34,2753,MISC
2054,Specific conductance,817_00_00_00_34,2403,MISC
2049,Specific conductance,817_00_00_00_34,36,MISC
2050,Specific conductance,817_00_00_00_34,2495,MISC
15798,Conductivity,1038_00_00_00_34,4469,MISC
976,Conductivity,1038_00_00_00_34,3210,MISC
5,Conductivity,1038_00_00_00_34,174,MISC
8252,Conductivity,1038_00_00_00_34,3217,MISC
7501,Ammonia total,605_00_00_00_14,283,MGL
7503,Ammonia total,605_00_00_00_14,217,MGL
7505,Ammonia total,605_00_00_00_14,219,MGL
7506,Ammonia total,605_00_00_00_14,278,MGL
7507,Ammonia total,605_00_00_00_14,264,MGL
7509,Ammonia total,605_00_00_00_14,280,MGL
12,Ammonia total,605_00_00_00_14,63,MGL
1969,Ammonia total,605_00_00_00_14,322,MGL
15527,Ammonia total,605_00_00_00_14,4453,MGL
15518,Nitrogen nitrite,612_00_00_00_14,4449,MGL
19,Nitrogen nitrite,612_00_00_00_14,181,MGL
47602,Nitrogen nitrite,612_00_00_00_14,3687,MGL
49190,Nitrogen nitrite,612_00_00_00_14,562,MGL
102226,Desethyl atrazine,1019_00_00_00_14,2868,WISKI_NGL
102609,Desethyl atrazine,1019_00_00_00_14,2721,UT
103657,Desethyl atrazine,1019_00_00_00_14,3003,WISKI_NGL
106845,Desethyl atrazine,1019_00_00_00_14,3405,WISKI_NGL
70,Desethyl atrazine,1019_00_00_00_14,5,UT
106925,Desethyl atrazine,1019_00_00_00_14,3406,WISKI_NGL
106878,Simazine,100_00_00_00_14,3406,WISKI_NGL
110115,Simazine,100_00_00_00_14,3655,UT
94029,Simazine,100_00_00_00_14,1781,UT
71,Simazine,100_00_00_00_14,5,UT
61924,Simazine,100_00_00_00_14,4361,UT
743,Simazine,100_00_00_00_14,303,WISKI_NGL
2295,Simazine,100_00_00_00_14,2429,WISKI_NGL
8025,Simazine,100_00_00_00_14,710,WISKI_NGL
4966,Simazine,100_00_00_00_14,526,WISKI_NGL
5503,Simazine,100_00_00_00_14,3216,WISKI_NGL
106798,Simazine,100_00_00_00_14,3405,WISKI_NGL
103661,Simazine,100_00_00_00_14,3003,WISKI_NGL
102227,Simazine,100_00_00_00_14,2868,WISKI_NGL
100423,Simazine,100_00_00_00_14,2699,WISKI_NGL
61616,Simazine,100_00_00_00_14,4352,UT
60799,Simazine,100_00_00_00_14,4315,UT
9195,Simazine,100_00_00_00_14,687,WISKI_NGL
60644,Atrazine,133_00_00_00_14,4315,UT
61478,Atrazine,133_00_00_00_14,4352,UT
96113,Atrazine,133_00_00_00_14,2344,WISKI_NGL
96150,Atrazine,133_00_00_00_14,2345,WISKI_NGL
100674,Atrazine,133_00_00_00_14,2721,UT
102228,Atrazine,133_00_00_00_14,2868,WISKI_NGL
103662,Atrazine,133_00_00_00_14,3003,WISKI_NGL
106803,Atrazine,133_00_00_00_14,3405,WISKI_NGL
106708,Atrazine,133_00_00_00_14,3401,WISKI_NGL
102602,Atrazine,133_00_00_00_14,2883,WISKI_NGL
102503,Atrazine,133_00_00_00_14,2879,WISKI_NGL
5460,Atrazine,133_00_00_00_14,3216,WISKI_NGL
4967,Atrazine,133_00_00_00_14,526,WISKI_NGL
8026,Atrazine,133_00_00_00_14,710,WISKI_NGL
2296,Atrazine,133_00_00_00_14,2429,WISKI_NGL
9145,Atrazine,133_00_00_00_14,687,WISKI_NGL
72,Atrazine,133_00_00_00_14,5,UT
738,Atrazine,133_00_00_00_14,303,WISKI_NGL
61930,Atrazine,133_00_00_00_14,4361,UT
94023,Atrazine,133_00_00_00_14,1781,UT
110134,Atrazine,133_00_00_00_14,4000,UT
106883,Atrazine,133_00_00_00_14,3406,WISKI_NGL
106884,Metribuzin,150_00_00_00_14,3406,WISKI_NGL
110141,Metribuzin,150_00_00_00_14,4000,UT
740,Metribuzin,150_00_00_00_14,303,WISKI_NGL
73,Metribuzin,150_00_00_00_14,5,UT
2310,Metribuzin,150_00_00_00_14,2429,WISKI_NGL
8035,Metribuzin,150_00_00_00_14,710,WISKI_NGL
5495,Metribuzin,150_00_00_00_14,3216,WISKI_NGL
4971,Metribuzin,150_00_00_00_14,526,WISKI_NGL
103664,Metribuzin,150_00_00_00_14,3003,WISKI_NGL
106804,Metribuzin,150_00_00_00_14,3405,WISKI_NGL
102229,Metribuzin,150_00_00_00_14,2868,WISKI_NGL
61579,Metribuzin,150_00_00_00_14,4352,UT
60753,Metribuzin,150_00_00_00_14,4315,UT
9185,Metribuzin,150_00_00_00_14,687,WISKI_NGL
100678,Cyanazine,154_00_00_00_14,2721,UT
106805,Cyanazine,154_00_00_00_14,3405,WISKI_NGL
5475,Cyanazine,154_00_00_00_14,3216,WISKI_NGL
4978,Cyanazine,154_00_00_00_14,526,WISKI_NGL
2325,Cyanazine,154_00_00_00_14,2429,WISKI_NGL
9161,Cyanazine,154_00_00_00_14,687,WISKI_NGL
74,Cyanazine,154_00_00_00_14,5,UT
739,Cyanazine,154_00_00_00_14,303,WISKI_NGL
110120,Cyanazine,154_00_00_00_14,3655,UT
106885,Cyanazine,154_00_00_00_14,3406,WISKI_NGL
107055,Nitrogen total,635_00_00_00_14,3415,MGL
107192,Nitrogen total,635_00_00_00_14,3438,MGL
107200,Nitrogen total,635_00_00_00_14,3442,MGL
110240,Nitrogen total,635_00_00_00_14,4006,MGL
108768,Nitrogen total,635_00_00_00_14,3592,MGL
7658,Nitrogen total,635_00_00_00_14,2606,MGL
963,Nitrogen total,635_00_00_00_14,3668n1,MGL
1130,Nitrogen total,635_00_00_00_14,10298,MGL
77,Nitrogen total,635_00_00_00_14,23,MGL
15834,Nitrogen total,635_00_00_00_14,4469,MGL
1967,Nitrogen total,635_00_00_00_14,315,MGL
8260,Nitrogen total,635_00_00_00_14,3668n2,MGL
7601,Nitrogen total,635_00_00_00_14,300,MGL
7602,Nitrogen total,635_00_00_00_14,301,MGL
7603,Nitrogen total,635_00_00_00_14,302,MGL
7617,Nitrogen total,635_00_00_00_14,2554,MGL
106435,Nitrogen total,635_00_00_00_14,3379,MGL
9326,Nitrogen total,635_00_00_00_14,4226,MGL
78,Alkalinity total HCO3,365_00_00_00_14,30,MGL
79,Chlorophyll corrected,4541_00_00_00_14,35,UT
80,Chlorophyll A,414_00_00_00_14,41,UT
15864,Chlorophyll A,414_00_00_00_14,4469,UT
6711,Chlorophyll A,414_00_00_00_14,190,MGL
8250,Chlorophyll A,414_00_00_00_14,492,UT
6717,Chlorophyll A,414_00_00_00_14,198,MGL
150,Volume,875_00_00_00_19,6,MIL
