Field Sample Number,Project Name,Station Name,Station Number,Station Latitude,Station Longitude,Location,Location Latitude,Location Longitude,Sample Date,Matrix,Parameter,Measurement Value,Flag
1989PN951960,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.10.21.000,111.22.13.000,,,,1989-08-12 12:30:00,WATER,"1,2,3,4-TETRAHYDRONAPHTHALENE, Grouped, NG/L",,
1989PN952049,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.10.21.000,111.22.13.000,,,,1989-09-19 12:00:00,WATER,"1,2,3,4-TETRAHYDRONAPHTHALENE, Grouped, NG/L",,
1989PN952244,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.10.21.000,111.22.13.000,,,,1989-10-12 12:00:00,WATER,"1,2,3,4-TETRAHYDRONAPHTHALENE, Grouped, NG/L",,
1989PN952601,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.10.21.000,111.22.13.000,,,,1989-11-29 12:00:00,WATER,"1,2,3,4-TETRAHYDRONAPHTHALENE, Grouped, NG/L",,
1989PN952656,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.10.21.000,111.22.13.000,,,,1989-12-12 12:00:00,WATER,"1,2,3,4-TETRAHYDRONAPHTHALENE, Grouped, NG/L",,
1989PN952674,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.10.21.000,111.22.13.000,,,,1990-01-13 12:30:00,WATER,"1,2,3,4-TETRAHYDRONAPHTHALENE, Grouped, NG/L",,
1989PN952795,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.10.21.000,111.22.13.000,,,,1990-02-11 12:00:00,WATER,"1,2,3,4-TETRAHYDRONAPHTHALENE, Grouped, NG/L",,
1989PN952995,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.10.21.000,111.22.13.000,,,,1990-03-13 12:00:00,WATER,"1,2,3,4-TETRAHYDRONAPHTHALENE, Grouped, NG/L",,
1990PN950396,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.10.21.000,111.22.13.000,,,,1990-05-24 13:00:00,WATER,"1,2,3,4-TETRAHYDRONAPHTHALENE, Grouped, NG/L",,
1990PN950662,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.10.21.000,111.22.13.000,,,,1990-06-16 09:35:00,WATER,"1,2,3,4-TETRAHYDRONAPHTHALENE, Grouped, NG/L",,
