Meteorological Data from PISCES 2 located at the Slave River at Fitzgerald at 15 minute intervals ,,,,,,,,,,,,,,,,,,,,,,,
Data File Name ,ExpandedGeographicExtent-SlaveRiver-PISCESMET15-2012-v1.csv,,,,,,,,,,,,,,,,,,,,,,
Date File Generated ,2013-01-17,,,,,,,,,,,,,,,,,,,,,,
Context Note,"In 2012, Environment Canada installed and operated a new automated monitoring platform on the Slave River at Fitzgerald, Alberta (JOSM site M11a). The objective is to provide near real-time, continuous water quality data to expand on regular monitoring done by conventional “grab samples” at this and other sites on the Athabasca River.
Verified and validated water quality data from the summer and fall of 2012 (June through September) collected at the Slave River at Fitzgerald site (M11a) is being released. Measurements are reported for water temperature, turbidity, dissolved oxygen, pH, and specific conductance at 1m and 4 m depths every two hours. Weather observations (air temperature, wind speed and direction, barometric pressure, precipitation and relative humidity) are collected every 15 minutes.
Analysis of the data being released is still ongoing. As of the time of this data release, the time series of data is too limited to draw any conclusions. As the data increases with continued monitoring, it will provide an indication of water quality at the northern end of the oil sands region before water flows into Lake Athabasca. In future, the water quality data from the automated platform, along with other environmental measures, will be used to assess the spatial and temporal status and trends in water quality in the mainstem of the Athabasca, Peace and Slave rivers.
The automated monitoring platform is an EMM350 PISCES (Pontoon for In-Situ Characterization of Environmental Systems - see Figure 1). PISCES consists of data acquisition components including a YSI 6600 water quality multi-probe, satellite communication capabilities, and an on-board power management system using solar panels.
",,,,,,,,,,,,,,,,,,,,,,
Organization Name,Environment and Climate Change Canada,,,,,,,,,,,,,,,,,,,,,,
Organization Contact Information,"200 Sacre-Coeur Blvd, Gatineau, Quebec,  K1A 0H3",,,,,,,,,,,,,,,,,,,,,,
Email,enviroinfo@canada.ca,,,,,,,,,,,,,,,,,,,,,,
Program,Joint Canada-Alberta Implementation Plan for Oil Sands Monitoring (JOSM) Water Implementation Plan Activities - Surface Water Quality - Expanded Geographic Extent Water Quality (http://www.publications.gc.ca/site/eng/436043/publication.html),,,,,,,,,,,,,,,,,,,,,,
Principal Investigator,Nancy Glozier,,,,,,,,,,,,,,,,,,,,,,
Principal Investigator Affiliation,"Environment and Climate Change Canada, Science and Technology Branch, Water Science and Technology Directorate, Water Quality Monitoring and Surveillance Division",,,,,,,,,,,,,,,,,,,,,,
*Co-investigator,,,,,,,,,,,,,,,,,,,,,,,
*Co-investigator Affiliation,,,,,,,,,,,,,,,,,,,,,,,
*Principal Investigator Contact Information,,,,,,,,,,,,,,,,,,,,,,,
Data Steward(s),Nancy Glozier,,,,,,,,,,,,,,,,,,,,,,
Open Government Licence-Canada,http://open.canada.ca/en/open-government-licence-canada,,,,,,,,,,,,,,,,,,,,,,
Attribution,"Environment and Climate Change Canada, [Year Accessed].  Data File Name [Name of data file]. Downloaded on [Year-Month-Day] from [Name and URL of the data portal].",,,,,,,,,,,,,,,,,,,,,,
Acknowledgement,"The author(s) acknowledge Environment and Climate Change Canada and [if applicable, enter the names of any co-contributors, co-funding agencies, and/or collaborators] for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ",,,,,,,,,,,,,,,,,,,,,,
Quality Assurance Level and Disclaimer,"Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
m/s,Meters per second,,,,,,,,,,,,,,,,,,,,,,
WVc,Wind Vector*,,,,,,,,,,,,,,,,,,,,,,
°C,degrees Celcius,,,,,,,,,,,,,,,,,,,,,,
%,Percent,,,,,,,,,,,,,,,,,,,,,,
mm Hg,Millimeters of mercury,,,,,,,,,,,,,,,,,,,,,,
mm ,Millimeters ,,,,,,,,,,,,,,,,,,,,,,
"*Vector - North is 0 degrees, E as 90 degrees, S as 180 degrees, Was 240 degrees",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Site Name,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Date+Time UTC -06:00 (MM/dd/yyyy HH:mm:ss) / Date +Heure UTC -06:00 (MM/dd/yyyy HH:mm:ss) ,Wind speed (m/s) / Vitesse du vent (m/s),Wind direction (WVc) / Direction du vent (WVc),Maximum average wind speed (m/s) / Vitesse moyenne maximale du vent (m/s),Minimum average wind speed (m/s) / Vitesse moyenne minimale du vent (m/s),Air temperature (°C) / Température de l’air (°C),Relative Humidity (%) / Humidité relative (%) ,Barometric pressure (mmHg) / Pression barométrique (mmHg),Rainfall (mm) / Pluie (mm),Hail (per cm2) / Grêle (per cm2),,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 00:30:00,3.458,104.4,5.8,1.6,15.10,37.23,738.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 00:45:00,3.121,108.2,5.4,1.4,15.23,36.58,738.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 01:00:00,3.430,119.7,5.8,1.2,15.48,35.74,738.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 01:15:00,3.646,113.5,6.1,1.6,15.55,34.59,738.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 03:45:00,3.483,114.6,4.9,2.2,14.90,40.67,738.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 04:00:00,3.362,117.4,4.8,2.0,14.89,39.98,738.9,0.01,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 04:15:00,4.157,133.8,5.6,2.7,14.87,39.63,738.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 04:30:00,3.849,127.5,6.1,2.0,14.94,40.52,738.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 04:45:00,4.467,136.1,5.9,3.4,14.90,40.72,738.8,0,0,,,,,,,,,,,
