Meteorological Data from PISCES 2 located at the Slave River at Fitzgerald - Daily Averages (MET24) ,,,,,,,,,,,,,,,,,,,,
Data File Name ,ExpandedGeographicExtent-SlaveRiver-PISCESMET24-2012-v1.csv,,,,,,,,,,,,,,,,,,,
Date File Generated ,2013-01-17,,,,,,,,,,,,,,,,,,,
Context Note,"In 2012, Environment Canada installed and operated a new automated monitoring platform on the Slave River at Fitzgerald, Alberta (JOSM site M11a). The objective is to provide near real-time, continuous water quality data to expand on regular monitoring done by conventional “grab samples” at this and other sites on the Athabasca River.
Verified and validated water quality data from the summer and fall of 2012 (June through September) collected at the Slave River at Fitzgerald site (M11a) is being released. Measurements are reported for water temperature, turbidity, dissolved oxygen, pH, and specific conductance at 1m and 4 m depths every two hours. Weather observations (air temperature, wind speed and direction, barometric pressure, precipitation and relative humidity) are collected every 15 minutes.
Analysis of the data being released is still ongoing. As of the time of this data release, the time series of data is too limited to draw any conclusions. As the data increases with continued monitoring, it will provide an indication of water quality at the northern end of the oil sands region before water flows into Lake Athabasca. In future, the water quality data from the automated platform, along with other environmental measures, will be used to assess the spatial and temporal status and trends in water quality in the mainstem of the Athabasca, Peace and Slave rivers.
The automated monitoring platform is an EMM350 PISCES (Pontoon for In-Situ Characterization of Environmental Systems - see Figure 1). PISCES consists of data acquisition components including a YSI 6600 water quality multi-probe, satellite communication capabilities, and an on-board power management system using solar panels.
",,,,,,,,,,,,,,,,,,,
Organization Name,Environment and Climate Change Canada,,,,,,,,,,,,,,,,,,,
Organization Contact Information,"200 Sacre-Coeur Blvd, Gatineau, Quebec,  K1A 0H3",,,,,,,,,,,,,,,,,,,
Email,enviroinfo@canada.ca,,,,,,,,,,,,,,,,,,,
Program,Joint Canada-Alberta Implementation Plan for Oil Sands Monitoring (JOSM) Water Implementation Plan Activities - Surface Water Quality - Expanded Geographic Extent Water Quality (http://www.publications.gc.ca/site/eng/436043/publication.html),,,,,,,,,,,,,,,,,,,
Principal Investigator,Nancy Glozier,,,,,,,,,,,,,,,,,,,
Principal Investigator Affiliation,"Environment and Climate Change Canada, Science and Technology Branch, Water Science and Technology Directorate, Water Quality Monitoring and Surveillance Division",,,,,,,,,,,,,,,,,,,
*Co-investigator,,,,,,,,,,,,,,,,,,,,
*Co-investigator Affiliation,,,,,,,,,,,,,,,,,,,,
*Principal Investigator Contact Information,,,,,,,,,,,,,,,,,,,,
Data Steward(s),Nancy Glozier,,,,,,,,,,,,,,,,,,,
Open Government Licence-Canada,http://open.canada.ca/en/open-government-licence-canada,,,,,,,,,,,,,,,,,,,
Attribution,"Environment and Climate Change Canada, [Year Accessed].  Data File Name [Name of data file]. Downloaded on [Year-Month-Day] from [Name and URL of the data portal].",,,,,,,,,,,,,,,,,,,
Acknowledgement,"The author(s) acknowledge Environment and Climate Change Canada and [if applicable, enter the names of any co-contributors, co-funding agencies, and/or collaborators] for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ",,,,,,,,,,,,,,,,,,,
Quality Assurance Level and Disclaimer,"Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
m/s,Meters per second,,,,,,,,,,,,,,,,,,,
WVc,Wind Vector*,,,,,,,,,,,,,,,,,,,
°C,degrees Celcius,,,,,,,,,,,,,,,,,,,
%,Percent,,,,,,,,,,,,,,,,,,,
mm Hg,Millimeters of mercury,,,,,,,,,,,,,,,,,,,
mm ,Millimeters ,,,,,,,,,,,,,,,,,,,
"*Vector - North is 0 degrees, E as 90 degrees, S as 180 degrees, Was 240 degrees",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Site Name,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Date+Time UTC -06:00 (MM/dd/yyyy HH:mm:ss) / Date +Heure UTC -06:00 (MM/dd/yyyy HH:mm:ss) ,Average wind speed (m/s) / Vitesse moyenne du vent (m/s),Average wind direction (degree) / Direction moyenne du vent (degré),Maximum average wind speed (m/s) / Vitesse moyenne maximale du vent (m/s),Minimum average wind speed (m/s) / Vitesse moyenne minimale du vent (m/s),Average air temperature (°C) / Température moyenne de l’air (°C),Maximum air temperature  (°C) / Température maximale de l’air (°C),Minimum Air Temperature (°C) / Température minimale de l’air (°C),Average Relative Humidity (%) / Humidité relative moyenne (%) ,Maximum Relative Humidity (%) / Humidité relative maximale (%) ,Minimum Relative Humidity (%) / Humidité relative minimale (%) ,Average barometric pressure (mmHg) / Pression barométrique moyenne (mmHg),Maximum Barometric Pressure (mmHg) / Pression barométrique maximale (mmHg),Minimum Barometric Pressure (mmHg) / Pression barométrique minimale (mmHg),Total Rainfall (mm) / Pluie totale (mm),Total Hail (per cm2) / Grêle total (per cm2),,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 23:59:00,2.819,124.5,7.2,0.3,13.67,17.1,11.3,53.50,77.0,36.4,736.6,$738.9,734.4,0.64,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 23:59:00,3.023,289.1,8.0,0.1,14.75,19.5,11.6,74.24,92.4,41.4,733.9,$734.7,733.4,0.18,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 23:59:00,3.064,340.1,8.2,0.1,11.85,16.3,9.4,78.20,93.7,45.4,738.4,$743.0,734.7,1.82,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 23:59:00,1.708,89.9,7.3,0.1,12.14,17.0,6.9,64.93,95.7,38.9,742.4,$743.3,738.9,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 23:59:00,4.198,88.1,9.1,0.9,15.42,19.4,11.7,55.18,81.7,33.7,733.4,$738.9,730.1,1.66,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 23:59:00,4.163,54.8,10.0,1.2,12.72,14.6,11.4,70.36,83.1,50.9,730.7,$732.3,729.9,1.65,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 23:59:00,2.795,18.8,8.9,0.1,13.00,17.3,11.6,73.95,87.9,45.8,735.1,$736.9,732.3,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 23:59:00,3.069,292.9,8.1,0.3,13.66,19.4,6.1,55.00,80.7,37.1,739.2,$742.4,736.5,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 23:59:00,2.106,309.2,6.3,0.1,16.33,18.7,10.8,48.35,83.5,33.5,742.0,$742.4,741.6,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 23:59:00,1.077,110.4,4.0,0.0,16.67,25.3,6.2,53.87,95.3,20.8,742.0,$743.2,740.2,0.00,0,,
