Water Quality Data from PISCES 2 located at the Slave River at Fitzgerald ,,,,,,,,,,,,,,,,,
Data File Name ,ExpandedGeographicExtent-SlaveRiver-PISCESWaterQuality-2012-v1.csv,,,,,,,,,,,,,,,,
Date File Generated ,2013-01-17,,,,,,,,,,,,,,,,
Context Note,"In 2012, Environment Canada installed and operated a new automated monitoring platform on the Slave River at Fitzgerald, Alberta (JOSM site M11a). The objective is to provide near real-time, continuous water quality data to expand on regular monitoring done by conventional “grab samples” at this and other sites on the Athabasca River.
Verified and validated water quality data from the summer and fall of 2012 (June through September) collected at the Slave River at Fitzgerald site (M11a) is being released. Measurements are reported for water temperature, turbidity, dissolved oxygen, pH, and specific conductance at 1m and 4 m depths every two hours. Weather observations (air temperature, wind speed and direction, barometric pressure, precipitation and relative humidity) are collected every 15 minutes.
Analysis of the data being released is still ongoing. As of the time of this data release, the time series of data is too limited to draw any conclusions. As the data increases with continued monitoring, it will provide an indication of water quality at the northern end of the oil sands region before water flows into Lake Athabasca. In future, the water quality data from the automated platform, along with other environmental measures, will be used to assess the spatial and temporal status and trends in water quality in the mainstem of the Athabasca, Peace and Slave rivers.
The automated monitoring platform is an EMM350 PISCES (Pontoon for In-Situ Characterization of Environmental Systems - see Figure 1). PISCES consists of data acquisition components including a YSI 6600 water quality multi-probe, satellite communication capabilities, and an on-board power management system using solar panels.
",,,,,,,,,,,,,,,,
Organization Name,Environment and Climate Change Canada,,,,,,,,,,,,,,,,
Organization Contact Information,"200 Sacre-Coeur Blvd, Gatineau, Quebec,  K1A 0H3",,,,,,,,,,,,,,,,
Email,enviroinfo@canada.ca,,,,,,,,,,,,,,,,
Program,Joint Canada-Alberta Implementation Plan for Oil Sands Monitoring (JOSM) Water Implementation Plan Activities - Surface Water Quality - Expanded Geographic Extent Water Quality (http://www.publications.gc.ca/site/eng/436043/publication.html),,,,,,,,,,,,,,,,
Principal Investigator,Nancy Glozier,,,,,,,,,,,,,,,,
Principal Investigator Affiliation,"Environment and Climate Change Canada, Science and Technology Branch, Water Science and Technology Directorate, Water Quality Monitoring and Surveillance Division",,,,,,,,,,,,,,,,
*Co-investigator,,,,,,,,,,,,,,,,,
*Co-investigator Affiliation,,,,,,,,,,,,,,,,,
*Principal Investigator Contact Information,,,,,,,,,,,,,,,,,
Data Steward(s),Nancy Glozier,,,,,,,,,,,,,,,,
Open Government Licence-Canada,http://open.canada.ca/en/open-government-licence-canada,,,,,,,,,,,,,,,,
Attribution,"Environment and Climate Change Canada, [Year Accessed].  Data File Name [Name of data file]. Downloaded on [Year-Month-Day] from [Name and URL of the data portal].",,,,,,,,,,,,,,,,
Acknowledgement,"The author(s) acknowledge Environment and Climate Change Canada and [if applicable, enter the names of any co-contributors, co-funding agencies, and/or collaborators] for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ",,,,,,,,,,,,,,,,
Quality Assurance Level and Disclaimer,"Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
°C,Degrees Celcius,,,,,,,,,,,,,,,,
pH Units,pH Units,,,,,,,,,,,,,,,,
NTU,Nephalometric Turbidity Units,,,,,,,,,,,,,,,,
µS/cm,Microsiemens per centimeter,,,,,,,,,,,,,,,,
mg/l,Milligrams per litre,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data corrections were made using Aquarius Workstation software for date and time shift.  No drift corrections were made.   Instrument and fouling drift were deemed incalculable; however drift numbers appear to be minimal.,,,,,,,,,,,,,,,,,
A gap exists in selected parameters due to a coding error in the data logger.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Site Name,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Date+Time UTC -06:00 (MM/dd/yyyy HH:mm:ss) / Date +Heure UTC -06:00 (MM/dd/yyyy HH:mm:ss) ,Depth (metres),Water Temperature (°C) / Température de l'eau (°C),Specific Conductance (µS/cm) / Conductance spécifique (µS/cm),pH (pH units) / pH (pH unites),Turbidity  (NTU) / Turbidité (UTN),Dissoved Oxygen (mg/L) / Oxygène dissous (mg/L),Oxygen saturation  (%) / Saturation en oxygène (%),,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/12/2012 20:13:00,1.0,15.85,96,8.03,181.8,9.31,94.1,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/12/2012 22:13:00,1.0,15.63,128,8.03,180.9,9.32,93.7,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 00:13:00,1.0,15.27,130,8.06,176.6,9.36,93.4,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 02:13:00,1.0,14.96,108,8.09,176.5,9.42,93.4,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 04:13:00,1.0,14.84,126,8.08,179.5,9.41,93.1,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 06:13:00,1.0,15.21,122,8.09,163.6,9.35,93.2,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 08:13:00,1.0,15.31,137,8.01,148.9,9.32,93.0,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 10:13:00,1.0,15.69,147,8.02,168.5,9.22,92.8,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 12:13:00,1.0,16.26,181,8.01,176.6,9.16,93.3,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 14:13:00,1.0,16.65,173,7.99,177.3,9.11,93.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 16:13:00,1.0,16.89,108,7.97,179.0,9.07,93.7,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 18:13:00,1.0,16.50,104,7.97,177.1,9.10,93.2,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 20:13:00,1.0,16.37,105,7.98,183.9,9.08,92.7,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 22:13:00,1.0,16.15,191,8.02,174.1,9.08,92.3,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 00:13:00,1.0,16.05,191,8.06,183.0,9.04,91.8,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 02:13:00,1.0,15.97,190,8.02,186.7,9.05,91.7,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 04:13:00,1.0,15.89,189,8.02,200.4,9.02,91.2,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 06:13:00,1.0,15.77,189,8.01,199.5,9.01,90.9,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 08:13:00,1.0,15.71,188,8.02,216.2,8.99,90.6,,,,,,,
